region,pct_good,pct_fair,pct_poor,source
Ahafo,18,63,19,"GHA Road Condition Survey 2023, Table 8 (trunk roads only)"
Ashanti,48,42,10,"GHA Road Condition Survey 2023, Table 8 (trunk roads only)"
Bono,10,78,12,"GHA Road Condition Survey 2023, Table 8 (trunk roads only)"
Bono East,19,58,23,"GHA Road Condition Survey 2023, Table 8 (trunk roads only)"
Central,36,42,22,"GHA Road Condition Survey 2023, Table 8 (trunk roads only)"
Eastern,43,47,10,"GHA Road Condition Survey 2023, Table 8 (trunk roads only)"
Greater Accra,43,47,10,"GHA Road Condition Survey 2023, Table 8 (trunk roads only)"
North East,22,41,37,"GHA Road Condition Survey 2023, Table 8 (trunk roads only)"
Northern,66,25,8,"GHA Road Condition Survey 2023, Table 8 (trunk roads only)"
Oti,51,33,16,"GHA Road Condition Survey 2023, Table 8 (trunk roads only)"
Savannah,44,52,4,"GHA Road Condition Survey 2023, Table 8 (trunk roads only)"
Upper East,7,55,39,"GHA Road Condition Survey 2023, Table 8 (trunk roads only)"
Upper West,25,20,54,"GHA Road Condition Survey 2023, Table 8 (trunk roads only)"
Volta,24,61,15,"GHA Road Condition Survey 2023, Table 8 (trunk roads only)"
Western,31,27,43,"GHA Road Condition Survey 2023, Table 8 (trunk roads only)"
Western North,75,14,11,"GHA Road Condition Survey 2023, Table 8 (trunk roads only)"
